date,AAPL close,MSFT close
19/02/2014,76.7671,37.51
20/02/2014,75.8786,37.75
21/02/2014,75.0357,37.98
24/02/2014,75.3643,37.69
25/02/2014,74.58,37.54
26/02/2014,73.9071,37.47
27/02/2014,75.3814,37.86
28/02/2014,75.1771,38.31
03/03/2014,75.3943,37.78
04/03/2014,75.8914,38.41
05/03/2014,76.0514,38.11
06/03/2014,75.8214,38.15
07/03/2014,75.7771,37.9
10/03/2014,75.8457,37.82
11/03/2014,76.5843,38.02
12/03/2014,76.6586,38.27
13/03/2014,75.8071,37.89
14/03/2014,74.9557,37.7
17/03/2014,75.2486,38.05
18/03/2014,75.9143,39.55
19/03/2014,75.8943,39.27
20/03/2014,75.5286,40.33
21/03/2014,76.1243,40.16
24/03/2014,77.0271,40.5
25/03/2014,77.8557,40.34
26/03/2014,77.1114,39.79
27/03/2014,76.78,39.36
28/03/2014,76.6943,40.3
31/03/2014,76.6771,40.99
01/04/2014,77.3786,41.42
02/04/2014,77.5071,41.35
03/04/2014,76.97,41.01
04/04/2014,75.9743,39.87
07/04/2014,74.7814,39.8
08/04/2014,74.7771,39.82
09/04/2014,75.76,40.47
10/04/2014,74.7829,39.36
11/04/2014,74.23,39.209
14/04/2014,74.5257,39.18
15/04/2014,73.9943,39.75
16/04/2014,74.1443,40.4
17/04/2014,74.9914,40.01
21/04/2014,75.8814,39.94
22/04/2014,75.957,39.99
23/04/2014,74.9643,39.69
24/04/2014,81.11,39.86
25/04/2014,81.7057,39.91
28/04/2014,84.87,40.87
29/04/2014,84.6186,40.51
30/04/2014,84.2986,40.4
01/05/2014,84.4971,40
02/05/2014,84.6543,39.69
05/05/2014,85.8514,39.43
06/05/2014,84.9157,39.06
07/05/2014,84.6186,39.425
08/05/2014,83.9986,39.64
09/05/2014,83.6489,39.54
12/05/2014,84.69,39.97
13/05/2014,84.8229,40.42
14/05/2014,84.8386,40.24
15/05/2014,84.1171,39.6
16/05/2014,85.3586,39.83
19/05/2014,86.37,39.75
20/05/2014,86.3871,39.68
21/05/2014,86.6157,40.35
22/05/2014,86.7529,40.1
23/05/2014,87.7329,40.12
27/05/2014,89.3757,40.19
28/05/2014,89.1443,40.01
29/05/2014,90.7686,40.34
30/05/2014,90.4286,40.94
02/06/2014,89.8071,40.79
03/06/2014,91.0771,40.29
04/06/2014,92.1171,40.32
05/06/2014,92.4786,41.21
06/06/2014,92.2243,41.48
09/06/2014,93.7,41.27
10/06/2014,94.25,41.11
11/06/2014,93.86,40.86
12/06/2014,92.29,40.58
13/06/2014,91.28,41.23
16/06/2014,92.2,41.5
17/06/2014,92.08,41.68
18/06/2014,92.18,41.65
19/06/2014,91.86,41.51
20/06/2014,90.91,41.68
23/06/2014,90.83,41.99
24/06/2014,90.28,41.745
25/06/2014,90.36,42.03
26/06/2014,90.9,41.72
27/06/2014,91.98,42.25
30/06/2014,92.93,41.7
01/07/2014,93.52,41.87
02/07/2014,93.48,41.9
03/07/2014,94.03,41.8
07/07/2014,95.968,41.99
08/07/2014,95.35,41.78
09/07/2014,95.39,41.67
10/07/2014,95.035,41.685
11/07/2014,95.22,42.09
14/07/2014,96.45,42.14
15/07/2014,95.32,42.45
16/07/2014,94.78,44.08
17/07/2014,93.0899,44.53
18/07/2014,94.43,44.69
21/07/2014,93.939,44.835
22/07/2014,94.72,44.83
23/07/2014,97.19,44.87
24/07/2014,97.03,44.4
25/07/2014,97.671,44.5
28/07/2014,99.02,43.97
29/07/2014,98.38,43.885
30/07/2014,98.15,43.5785
31/07/2014,95.6,43.16
01/08/2014,96.13,42.86
04/08/2014,95.59,43.37
05/08/2014,95.12,43.08
06/08/2014,94.96,42.74
07/08/2014,94.48,43.23
08/08/2014,94.74,43.2
11/08/2014,95.99,43.2
12/08/2014,95.97,43.52
13/08/2014,97.24,44.08
14/08/2014,97.5,44.27
15/08/2014,97.98,44.79
18/08/2014,99.16,45.11
19/08/2014,100.53,45.33
20/08/2014,100.57,44.95
21/08/2014,100.58,45.22
22/08/2014,101.32,45.15
25/08/2014,101.54,45.17
26/08/2014,100.889,45.005
27/08/2014,102.13,44.87
28/08/2014,102.25,44.88
29/08/2014,102.5,45.43
02/09/2014,103.3,45.09
03/09/2014,98.94,44.96
04/09/2014,98.12,45.26
05/09/2014,98.97,45.91
08/09/2014,98.36,46.47
09/09/2014,97.99,46.76
10/09/2014,101,46.84
11/09/2014,101.43,47
12/09/2014,101.66,46.695
15/09/2014,101.63,46.24
16/09/2014,100.86,46.76
17/09/2014,101.58,46.52
18/09/2014,101.79,46.68
19/09/2014,100.96,47.52
22/09/2014,101.06,47.06
23/09/2014,102.64,46.56
24/09/2014,101.75,47.08
25/09/2014,97.87,46.04
26/09/2014,100.75,46.41
29/09/2014,100.11,46.44
30/09/2014,100.75,46.36
01/10/2014,99.18,45.9
02/10/2014,99.9,45.76
03/10/2014,99.62,46.09
06/10/2014,99.62,46.09
07/10/2014,98.75,45.53
08/10/2014,100.8,46.78
09/10/2014,101.02,45.85
10/10/2014,100.73,44.03
13/10/2014,99.81,43.65
14/10/2014,98.75,43.73
15/10/2014,97.54,43.22
16/10/2014,96.26,42.74
17/10/2014,97.67,43.63
20/10/2014,99.76,44.08
21/10/2014,102.47,44.88
22/10/2014,102.99,44.38
23/10/2014,104.83,45.02
24/10/2014,105.22,46.13
27/10/2014,105.11,45.91
28/10/2014,106.74,46.49
29/10/2014,107.34,46.62
30/10/2014,106.98,46.05
31/10/2014,108,46.95
03/11/2014,109.4,47.44
04/11/2014,108.6,47.57
05/11/2014,108.86,47.86
06/11/2014,108.7,48.7
07/11/2014,109.01,48.68
10/11/2014,108.83,48.89
11/11/2014,109.7,48.87
12/11/2014,111.25,48.78
13/11/2014,112.82,49.61
14/11/2014,114.18,49.58
17/11/2014,113.99,49.46
18/11/2014,115.47,48.74
19/11/2014,114.67,48.22
20/11/2014,116.31,48.7
21/11/2014,116.47,47.98
24/11/2014,118.625,47.59
25/11/2014,117.6,47.47
26/11/2014,119,47.75
28/11/2014,118.93,47.81
01/12/2014,115.07,48.62
02/12/2014,114.63,48.46
03/12/2014,115.93,48.08
04/12/2014,115.49,48.84
05/12/2014,115,48.42
08/12/2014,112.4,47.695
09/12/2014,114.12,47.59
10/12/2014,111.95,46.9
11/12/2014,111.62,47.17
12/12/2014,109.73,46.95
15/12/2014,108.225,46.67
16/12/2014,106.745,45.16
17/12/2014,109.41,45.74
18/12/2014,112.65,47.52
19/12/2014,111.78,47.66
22/12/2014,112.94,47.98
23/12/2014,112.54,48.45
24/12/2014,112.01,48.14
26/12/2014,113.99,47.88
29/12/2014,113.91,47.45
30/12/2014,112.52,47.02
31/12/2014,110.38,46.45
02/01/2015,109.33,46.76
05/01/2015,106.25,46.325
06/01/2015,106.26,45.65
07/01/2015,107.75,46.23
08/01/2015,111.89,47.59
09/01/2015,112.01,47.19
12/01/2015,109.25,46.6
13/01/2015,110.22,46.355
14/01/2015,109.8,45.955
15/01/2015,106.82,45.48
16/01/2015,105.99,46.24
20/01/2015,108.72,46.39
21/01/2015,109.55,45.92
22/01/2015,112.4,47.13
23/01/2015,112.98,47.18
26/01/2015,113.1,47.01
27/01/2015,109.14,42.66
28/01/2015,115.31,41.19
29/01/2015,118.9,42.01
30/01/2015,117.16,40.4
02/02/2015,118.63,41.28
03/02/2015,118.65,41.6
04/02/2015,119.56,41.84
05/02/2015,119.94,42.45
06/02/2015,118.93,42.41
09/02/2015,119.72,42.36
10/02/2015,122.02,42.6
11/02/2015,124.88,42.38
12/02/2015,126.46,43.09
13/02/2015,127.08,43.87
17/02/2015,127.83,43.58
18/02/2015,128.715,43.53
19/02/2015,128.45,43.5
20/02/2015,129.495,43.855
23/02/2015,133,44.15
24/02/2015,132.17,44.09
25/02/2015,128.79,43.99
26/02/2015,130.415,44.055
27/02/2015,128.46,43.85
02/03/2015,129.09,43.88
03/03/2015,129.36,43.28
04/03/2015,128.54,43.055
05/03/2015,126.41,43.11
06/03/2015,126.6,42.36
09/03/2015,127.14,42.85
10/03/2015,124.51,42.03
11/03/2015,122.24,41.98
12/03/2015,124.45,41.02
13/03/2015,123.59,41.38
16/03/2015,124.95,41.56
17/03/2015,127.04,41.695
18/03/2015,128.47,42.5
19/03/2015,127.495,42.285
20/03/2015,125.9,42.88
23/03/2015,127.21,42.855
24/03/2015,126.69,42.9
25/03/2015,123.38,41.46
26/03/2015,124.24,41.21
